gene,effect_size
GENE_00,0.60066783295863702
GENE_01,0.88318961967513443
GENE_02,0.87191921814418794
GENE_03,1.3054497781420527
GENE_04,0.94271391899159174
GENE_05,0.91904826337740386
GENE_06,-0.056086089868968521
GENE_07,0.31459057579232702
GENE_08,-0.32489546286343812
GENE_09,0.37013071270219156
GENE_10,0.0056437906966504969
GENE_11,0.0031146411051997253
GENE_12,-0.16308443315067733
GENE_13,0.12466032553634548
GENE_14,0.19365059761003323
GENE_15,0.2195742705884341
GENE_16,0.30807491895934314
GENE_17,-0.042974263024493808
GENE_18,0.016434791224951312
GENE_19,-0.33955152944251465
GENE_20,-0.077873216527337918
GENE_21,0.14780678711035153
GENE_22,0.011675880074320411
GENE_23,-0.025023015180358377
